,0,1,2,3,4,busy
0001.wav,1.4782825,1.6012115,1.7636473,1.7588203,1.6394978,False
0002.wav,-2.4142501,-2.6560783,-2.8031,-2.899581,-2.8880167,True
0003.wav,1.2808831,1.1267745,1.1436098,1.0528703,0.99456537,False
0004.wav,-0.2838835,-0.3124627,-0.34230393,-0.32241133,-0.20269439,True
0005.wav,4.448469e-05,3.604768e-05,2.1672582e-05,7.2457997e-06,3.4543328e-07,False
0006.wav,3.1941407,2.3978066,1.6859268,1.0938947,0.8759618,False
0007.wav,0.05081173,0.06878899,0.07531397,0.077432744,0.0881364,True
0008.wav,0.5958836,0.67195725,0.81040007,0.8047435,0.81053126,False
0009.wav,-0.35885322,-0.4661305,-0.45711833,-0.41189766,-0.4331172,False
0010.wav,9.708229e-05,-0.00029641466,-0.00093309465,-0.0007992659,0.0005506095,False
0011.wav,0.37176472,0.45789224,0.43454123,0.4020784,0.39683056,False
0012.wav,-0.11458841,-0.12421635,-0.15017402,-0.18075997,-0.18813354,False
0013.wav,-1.1767548e-06,-2.1517048e-06,-8.6240755e-07,2.4009307e-07,8.8715706e-07,True
0014.wav,-2.1364256e-05,6.5509194e-06,-3.9800878e-05,-7.367866e-05,-7.97651e-05,False
0015.wav,0.00020188134,0.00019763704,0.00021630424,0.0001948559,0.00018503386,True
0016.wav,0.0,0.0,0.0,0.0,0.0,False
0017.wav,0.23065701,0.20652522,0.20554703,0.19061118,0.18523349,False
0018.wav,0.0,0.0,0.0,0.0,0.0,False
0019.wav,0.0,0.0,0.0,0.0,0.0,True
0020.wav,0.30294514,0.21208747,0.22512484,0.19198045,0.06932899,False
0021.wav,2.2668102,2.1751428,2.0886502,1.9595872,1.965915,False
0022.wav,18.438292,18.16731,17.806301,17.470837,17.22651,False
0023.wav,6.3482275e-10,2.3130796e-10,1.0970385e-09,-1.3735884e-09,3.4958672e-10,False
0024.wav,2.247303,1.9526942,1.6074271,1.2379928,1.0373776,True
0025.wav,-5.6519166e-06,-4.0621067e-06,-1.325044e-07,2.1453161e-07,1.2698206e-07,True
0026.wav,0.027525757,0.015019838,0.0130191,0.011011405,0.0064375075,True
0027.wav,0.3568103,0.38650528,0.4141337,0.38051164,0.36260742,False
0028.wav,0.108048335,-0.5662789,-0.1215239,0.63187945,0.6767831,False
0029.wav,0.0,0.0,0.0,0.0,0.0,False
0030.wav,0.25331885,-0.055884782,-0.29642004,-0.51929605,-0.6429908,True
0031.wav,0.18821949,0.2667788,0.20000035,0.057402365,-0.0042279055,True
0032.wav,0.0,0.0,0.0,0.0,0.0,True
0033.wav,0.0,0.0,0.0,0.0,0.0,True
0034.wav,0.0,0.0,0.0,0.0,0.0,True
0035.wav,0.97564673,0.8551165,0.7363806,0.60313,0.45816928,False
0036.wav,1.0990566e-06,5.8019566e-07,7.798908e-07,3.862829e-07,4.5869214e-07,False
0037.wav,7.8334312,7.2726793,6.7969813,6.4206095,6.0891876,True
0038.wav,2.4893355,2.3335915,2.2436616,1.9801139,2.0737433,False
0039.wav,0.0,0.0,0.0,0.0,0.0,True
0040.wav,-0.015529955,-0.13307914,-0.19848737,-0.23766826,-0.25651252,False
0041.wav,0.10761644,0.07817049,0.052785233,-0.006226002,-0.031686045,True
0042.wav,0.0,0.0,0.0,0.0,0.0,False
0043.wav,0.00010888546,3.055655e-05,-1.6278991e-05,-4.6274894e-05,-4.305762e-06,False
0044.wav,0.26581964,0.23741442,0.22587919,0.20648906,0.18235669,False
0045.wav,0.0,0.0,0.0,0.0,0.0,False
0046.wav,0.026728418,0.024208874,0.020792732,0.017835356,0.017429445,False
0047.wav,4.9747814e-07,4.5941363e-07,2.7706e-07,2.8193512e-07,4.0386598e-07,False
0048.wav,0.10875768,-0.28569812,-0.67439616,-1.511486,-1.3820088,True
0049.wav,-0.15135662,-0.7675307,-1.3666902,-2.0369096,-2.5247822,True
0050.wav,9.910992e-10,-1.1282387e-09,1.2277906e-09,-1.2830258e-09,1.30482e-09,False
0051.wav,0.010762388,0.002343162,-0.003991428,-0.0007115549,-0.0018107235,False
0052.wav,0.3847447,0.33962476,0.3714629,0.4696473,0.5404123,False
0053.wav,0.03340309,-0.009926214,-0.017330106,-0.051647134,-0.07323329,True
0054.wav,0.0,0.0,0.0,0.0,0.0,False
0055.wav,-0.0661463,0.0024017948,0.11820516,0.1391114,0.118012354,False
0056.wav,1.7662533e-07,-7.251495e-07,-2.798704e-07,-1.0029469e-06,-1.6959697e-07,False
0057.wav,-0.4928897,-0.99360776,-1.0518563,-0.94517446,-0.94730103,False
0058.wav,0.03641006,0.10331116,0.44186342,0.39075154,0.29281735,True
0059.wav,2.7921429,2.778269,3.2240505,3.6674652,3.5181541,False
0060.wav,0.0017622842,0.0015261995,0.0014523745,0.0011069081,0.0009439868,True
0061.wav,0.005611109,0.0043766005,0.0024409327,-0.002071857,-0.004758038,True
0062.wav,1.24582,0.7609596,0.4896968,0.008671131,-0.35770258,False
0063.wav,0.6100683,0.5583096,0.53297365,0.51052845,0.5173964,False
0064.wav,0.8916674,0.7110753,0.6699612,0.6976208,0.7356694,True
0065.wav,0.8803222,0.8294288,0.73073506,0.60034287,0.49894837,True
