Public filename,Area,Spot,In_Out,Contributor,Duration
0001.wav,british,street,outdoor,S151,9.59
0002.wav,kensington,dinosaur,indoor,S127,7.04
0003.wav,campus,square,outdoor,S18,8.85
0004.wav,kensington,hintze,indoor,S179,7.72
0005.wav,campus,square,outdoor,S176,11.42
0006.wav,westend,piazza,outdoor,S89,8.31
0007.wav,Euston,upper,indoor,S140,7.66
0008.wav,campus,canal,outdoor,S20,7.2
0009.wav,british,forecourt,outdoor,S131,8.93
0010.wav,british,forecourt,outdoor,S69,7.86
0011.wav,british,forecourt,outdoor,S39,7.01
0012.wav,british,forecourt,outdoor,S136,7.83
0013.wav,british,greatcourt,indoor,S66,7.87
0014.wav,campus,square,outdoor,S145,8.12
0015.wav,campus,reception,indoor,S99,8.59
0016.wav,westend,leicester,outdoor,S137,6.97
0017.wav,british,street,outdoor,S73,7.82
0018.wav,british,forecourt,outdoor,S55,10.4
0019.wav,kensington,dinosaur,indoor,S82,7.45
0020.wav,british,forecourt,outdoor,S105,8.13
0021.wav,british,street,outdoor,S181,9.47
0022.wav,westend,leicester,outdoor,S3,19.32
0023.wav,westend,piazza,outdoor,S101,8.1
0024.wav,southbank,waterloo,indoor,S41,10.89
0025.wav,british,room12,indoor,S52,7.69
0026.wav,Euston,upper,indoor,S157,7.94
0027.wav,british,square,outdoor,S18,10.78
0028.wav,campus,canal,outdoor,S143,7.03
0029.wav,campus,canal,outdoor,S162,9.13
0030.wav,british,greatcourt,indoor,S115,8.29
0031.wav,kensington,dinosaur,indoor,S72,7.64
0032.wav,british,greatcourt,indoor,S162,9.68
0033.wav,british,room23,indoor,S100,7.36
0034.wav,westend,national,indoor,S144,9.05
0035.wav,campus,library,outdoor,S27,7.72
0036.wav,southbank,skate,outdoor,S111,7.27
0037.wav,westend,market,indoor,S49,8.48
0038.wav,southbank,book,outdoor,S126,8.24
0039.wav,westend,national,indoor,S55,14.56
0040.wav,Euston,piazza,outdoor,S59,8
0041.wav,Euston,upper,indoor,S12,8.06
0042.wav,westend,leicester,outdoor,S57,11.72
0043.wav,campus,square,outdoor,S67,7.7
0044.wav,british,square,outdoor,S58,8.32
0045.wav,campus,canal,outdoor,S55,12.62
0046.wav,british,square,outdoor,S60,8.75
0047.wav,campus,library,outdoor,S48,7.73
0048.wav,campus,ground,indoor,S150,8.52
0049.wav,westend,charing,indoor,S126,8.04
0050.wav,campus,square,outdoor,S117,7.85
0051.wav,westend,trafalgar,outdoor,S164,7.23
0052.wav,british,forecourt,outdoor,S13,23.57
0053.wav,westend,national,indoor,S181,10.84
0054.wav,british,street,outdoor,S162,8.62
0055.wav,westend,piazza,outdoor,S56,10.94
0056.wav,westend,piazza,outdoor,S94,6.85
0057.wav,westend,piazza,outdoor,S29,7.73
0058.wav,campus,ground,indoor,S116,7.9
0059.wav,campus,square,outdoor,S36,7.01
0060.wav,westend,national,indoor,S81,9.12
0061.wav,campus,curve,indoor,S166,7.05
0062.wav,campus,library,outdoor,S107,7.46
0063.wav,british,forecourt,outdoor,S68,5.7
0064.wav,campus,reception,indoor,S65,8.78
0065.wav,westend,national,indoor,S151,10.15
0066.wav,Euston,upper,indoor,S54,8.59
0067.wav,campus,canal,outdoor,S82,7.32
0068.wav,Euston,piazza,outdoor,S140,7.84
0069.wav,campus,library,outdoor,S137,7.07
0070.wav,campus,curve,indoor,S72,7.82
0071.wav,campus,ground,indoor,S126,8.44
0072.wav,southbank,waterloo,indoor,S36,7
0073.wav,westend,trafalgar,outdoor,S71,8.47
0074.wav,campus,canal,outdoor,S151,9.26
0075.wav,campus,canal,outdoor,S148,8.22
0076.wav,Euston,ritblat,indoor,S59,7.99
0077.wav,westend,trafalgar,outdoor,S170,7.34
0078.wav,westend,market,indoor,S69,7.33
0079.wav,british,street,outdoor,S87,9.56
0080.wav,british,street,outdoor,S117,7.42
0081.wav,campus,canal,outdoor,S35,7.17
0082.wav,westend,trafalgar,outdoor,S189,7.96
0083.wav,Euston,forecourt,outdoor,S50,8.7
0084.wav,westend,national,indoor,S13,22.66
0085.wav,southbank,skate,outdoor,S17,7.45
0086.wav,campus,reception,indoor,S90,8.17
0087.wav,campus,ground,indoor,S124,7.08
0088.wav,campus,curve,indoor,S9,10.43
0089.wav,campus,canal,outdoor,S92,6.59
0090.wav,westend,leicester,outdoor,S1,7.34
0091.wav,campus,ground,indoor,S177,8.54
0092.wav,southbank,bridge,outdoor,S62,9.6
0093.wav,kensington,dinosaur,indoor,S167,8.06
0094.wav,westend,piazza,outdoor,S183,7.16
0095.wav,campus,library,outdoor,S190,8.17
0096.wav,british,room12,indoor,S133,7.87
0097.wav,campus,square,outdoor,S110,10.46
0098.wav,Euston,ritblat,indoor,S43,7.76
0099.wav,british,room12,indoor,S31,8.59
0100.wav,westend,leicester,outdoor,S51,7.27
0101.wav,campus,curve,indoor,S152,8.02
0102.wav,campus,square,outdoor,S162,8.68
0103.wav,westend,piazza,outdoor,S75,7.23
0104.wav,westend,leicester,outdoor,S193,8.06
0105.wav,campus,library,outdoor,S117,7.42
0106.wav,westend,charing,indoor,S25,8.1
0107.wav,westend,market,indoor,S40,7.04
0108.wav,westend,charing,indoor,S121,7.11
0109.wav,westend,leicester,outdoor,S40,7.04
0110.wav,westend,trafalgar,outdoor,S58,7.8
0111.wav,westend,piazza,outdoor,S47,8.43
0112.wav,british,street,outdoor,S141,8.53
0113.wav,westend,leicester,outdoor,S79,7.01
0114.wav,kensington,marine,indoor,S82,7.48
0115.wav,westend,piazza,outdoor,S65,8.73
0116.wav,campus,square,outdoor,S25,9.87
0117.wav,campus,library,outdoor,S59,8.02
0118.wav,southbank,bridge,outdoor,S4,7.52
0119.wav,Euston,library,indoor,S14,10.07
0120.wav,Euston,forecourt,outdoor,S165,7.63
0121.wav,kensington,hintze,indoor,S83,6.97
0122.wav,british,room12,indoor,S39,7.62
0123.wav,westend,national,indoor,S105,7.7
0124.wav,westend,piazza,outdoor,S129,7.34
0125.wav,british,greatcourt,indoor,S68,5.48
0126.wav,campus,reception,indoor,S152,9.6
0127.wav,westend,charing,indoor,S3,15.82
0128.wav,british,greatcourt,indoor,S122,7.32
0129.wav,southbank,waterloo,indoor,S168,7.04
0130.wav,campus,ground,indoor,S129,7.31
0131.wav,campus,ground,indoor,S64,7.55
0132.wav,british,greatcourt,indoor,S55,11.02
